name,release_date,required_age,genres,positive_ratings,negative_ratings,average_playtime,median_playtime,owners,price,average_completion_time,developers
Half-Life: Opposing Force,1999-11-01,0,FPS;Action;Sci-fi,5250,288,10.40,6.92,5000000-10000000,3.99,6.00,Gearbox Software
Half-Life,1998-11-08,0,FPS;Classic;Action,27755,1100,21.67,1.38,5000000-10000000,7.19,12.50,Valve Corporation
Half-Life: Blue Shift,2001-06-01,0,FPS;Action;Sci-fi,3822,420,6.02,3.42,5000000-10000000,3.99,3.00,Gearbox Software
Half-Life 2,2004-11-16,0,FPS;Action;Sci-fi,67902,2419,11.52,6.70,10000000-20000000,7.19,14.50,Valve Corporation
Half-Life: Source,2004-06-01,0,FPS;Action;Sci-fi,3767,1053,3.17,3.57,2000000-5000000,0.00,12.00,Valve Corporation
Half-Life 2: Lost Coast,2005-10-27,0,FPS;Action;Singleplayer,5783,1020,0.77,0.48,10000000-20000000,0.00,0.42,Valve Corporation
Half-Life 2: Episode One,2006-06-01,0,FPS;Action;Sci-fi,7908,517,4.68,3.07,5000000-10000000,5.79,4.00,Valve Corporation
Portal,2007-10-10,0,Puzzle;First-Person;Singleplayer,51801,1080,4.80,2.28,10000000-20000000,7.19,4.00,Valve Corporation
Half-Life 2: Episode Two,2007-10-10,0,FPS;Action;Sci-fi,13902,696,5.90,5.02,5000000-10000000,5.79,6.00,Valve Corporation
Left 4 Dead,2008-11-17,0,Zombies;Co-op;FPS,17951,948,14.95,4.63,5000000-10000000,7.19,11.00,"Turtle Rock Studios, Valve Corporation, Certain Affinity"
Left 4 Dead 2,2009-11-19,0,Zombies;Co-op;FPS,251789,8418,26.92,9.43,10000000-20000000,7.19,14.50,"Valve Corporation, Turtle Rock Studios"
Portal 2,2011-04-18,0,Puzzle;Co-op;First-Person,138220,1891,18.37,8.67,10000000-20000000,7.19,10.00,Valve Corporation
Alien Swarm,2010-07-19,0,Free to Play;Co-op;Action,17435,941,6.18,1.38,2000000-5000000,0.00,5.00,Valve Corporation
Killing Floor,2009-05-14,0,FPS;Zombies;Co-op,53710,2649,22.13,5.10,2000000-5000000,14.99,65.50,Tripwire Interactive
SiN Episodes: Emergence,2006-05-10,0,Action;FPS;Cyberpunk,468,61,0.00,0.00,100000-200000,7.19,4.00,Ritual Entertainment
Darwinia,2005-07-14,0,Strategy;Indie;RTS,472,158,3.03,4.55,500000-1000000,7.19,12.00,Introversion Software
Uplink,2006-08-23,0,Hacking;Indie;Strategy,1602,152,1.08,1.28,500000-1000000,6.99,11.50,Introversion Software
DEFCON,2006-09-29,0,Strategy;Indie;Multiplayer,2057,344,1.33,1.98,500000-1000000,7.19,1.50,Introversion Software
Multiwinia,2008-09-19,0,Indie;RTS;Strategy,368,75,2.02,3.73,500000-1000000,7.19,2.50,Introversion Software
Disciples II: Gallean's Return,2006-07-06,0,Turn-Based Strategy;Strategy;Classic,490,152,0.15,0.20,100000-200000,4.99,45.00,Strategy First
Arx Fatalis,2007-04-03,0,RPG;First-Person;Classic,671,106,0.18,0.35,100000-200000,2.99,26.00,Arkane Studios
Earth 2160,2006-04-01,0,Strategy;RTS;Sci-fi,498,238,6.75,6.90,1000000-2000000,3.99,14.50,Reality Pump Studios
Quake III Arena,2007-08-03,0,FPS;Action;Classic,1362,66,2.05,1.72,200000-500000,12.99,7.50,"id Software, Raster Productions (Dreamcast), Bullfrog Productions (PS2), Pi Studios (Xbox 360)"
Wolfenstein 3D,2007-08-03,0,FPS;Classic;Action,1773,87,1.15,1.83,200000-500000,2.99,8.00,id Software
Bloody Good Time,2010-10-29,0,Action;Multiplayer;FPS,662,204,3.22,3.22,100000-200000,4.29,2.00,Outerlight
